RM,name,address,phone,email,url,description,category,custom_field_1,custom_field_2,custom_field_3,image_url,latitude,longitude,store_id,tier,custom_marker_url,hidden,GeoLocation,ID,NavContactID,NavCustomerID,DealerOrgNo
,APCO Equipment Corp.,"3432 North Fifth Street, North Las Vegas, NV, 89032-8048",702-871-7474,,http://apcoequipment.com,,,,,,,36.22203064,-115.1332397,9566576,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80k\x1cB@\x00\x00\x00\x00\x87\xc8\\\xc0',1,D505400,,2
,Atlantic Powertrain & Equipment Inc.,"30 Glencoe Drive, Mount Pearl, NL, A1N 4S8",866-747-7002,,http://atlanticpowertrain.com,,,,,,,47.52545166,-52.83864594,9566577,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00B\xc3G@\x00\x00\x00\xc0XkJ\xc0',2,D400093,,3
,Bane Machinery,"2449 Manana, Dallas, TX, 75220",800-594-2263,,http://banemachinery.com,,,,,,,32.87441635,-96.89613342,9566579,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xeco@@\x00\x00\x00@Z9X\xc0',3,D400080,,8
,Bane Machinery,"3402 N NE Loop 323, Tyler, TX, 75708",800-594-2200,,http://banemachinery.com,,,,,,,32.3845253,-95.26966858,9566580,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 81@@\x00\x00\x00@B\xd1W\xc0',4,D400081,,8
,Bane Machinery,"10505 North Freeway, Fort Worth, TX, 76177",800-601-2263,,http://banemachinery.com,,,,,,,32.92879868,-97.31771088,9566578,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xe2v@@\x00\x00\x00`UTX\xc0',5,D400082,,8
,B-C Equipment - Corpus Christi,"809 Corn Products Rd, Corpus Christi, TX, 78409",361-289-9314,,http://lbxco.bcequipment.com/home_lbxco.asp,,,,,,,27.80270386,-97.48573303,9566581,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00~\xcd;@\x00\x00\x00@\x16_X\xc0',6,D506600,,7
,B-C Equipment - San Antonio,"1620 S.E. Loop 410, San Antonio, TX, 78220",210-447-9314,,http://lbxco.bcequipment.com/home_lbxco.asp,,,,,,,29.40782166,-98.38850403,9566582,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00gh=@\x00\x00\x00@\xdd\x98X\xc0',7,D506603,,7
,B-C Equipment - The Valley,"201 East Expressway 83, La Feria, TX, 78559",888-874-3940,,http://lbxco.bcequipment.com/home_lbxco.asp,,,,,,,26.16526413,-97.82325745,9566583,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0N*:@\x00\x00\x00@\xb0tX\xc0',8,D506601,,7
,Bejac Corporation,"1619 Abram Court, San Leandro, CA, 94577",800-77-23522,,http://bejac.com,,,,,,,37.71134186,-122.1692276,9566589,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\r\xdbB@\x00\x00\x00\xa0\xd4\x8a^\xc0',9,D517206,,10
,Bejac Corporation,"569 South Van Buren Street, Placentia, CA, 92870",800-77-23522,,http://bejac.com,,,,,,,33.8659935,-117.832222,9566588,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xd8\xee@@\x00\x00\x00 Cu]\xc0',10,D517200,,10
,Bejac Corporation,"5228 North Tom Murray Ave, Glendale, AZ, 85301",800-77-23522,,http://bejac.com,,,,,,,33.51397324,-112.1601105,9566585,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xc9\xc1@@\x00\x00\x00@?\n\\\xc0',11,D517205,,10
,Bejac Corporation,"6934 Florin-Perkins Road, Sacramento, CA, 95828",800-77-23522,,http://bejac.com,,,,,,,38.50034714,-121.3934937,9566590,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\x0b@C@\x00\x00\x00\x00/Y^\xc0',12,D517203,,10
,Bejac Corporation,"5501 East Street, Anderson, CA, 96007",800-77-23522,,http://bejac.com,,,,,,,40.45897293,-122.3108597,9566587,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xbf:D@\x00\x00\x00 \xe5\x93^\xc0',13,D517202,,10
